,Automated,Manually,similarity_score
0,أحمد بن محمد بن عبد المهيمن,احمد بن محمد بن عبد المهيمن ,84.6153846153846
0,أحمد بن أبي بكر بن محمد بن أبي بكر بن على بن محمد بن أبي بكر الناشري,أحمد بن أبي بكر بن محمد بن أبي بكر بن على بن محمد بن أبي بكر الناشري,100.00000000000003
0,ابن الجيعان,وردشاه العلمية ابن الجيعان,65.46536707079773
0,عبد الرحمن بن أبي بكر بن عبد الرحمن بن محمد بن أحمد بن سليمان بن حمزة بن أحمد بن عمر بن الشيخ أبي عمر زين الدين بن العماد القرشي,عبد الرحمن بن أبي بكر بن عبد الرحمن بن محمد بن أحمد بن سليمان بن حمزة بن أحمد بن عمر بن الشيخ أبي عمر زين الدين بن العماد القرشي العمري المقدسي الصالحي الحنبلي,97.66049484994058
2,عبد الله,عبد الله,100.00000000000003
3,ناصر الدين محمد الآتيين,ناصر الدين محمد,99.99999999999999
4,ابن زريق,ابن زريق,100.00000000000003
5,أبي هريره بن الذهبي,أبي هريره بن الذهبي,99.99999999999997
6,أبي بكر بن إبراهيم بن العز,أبي بكر بن إبراهيم بن العز,100.0
7,محمد بن محمد بن داود بن حمزة,محمد بن محمد بن داود بن حمزة,100.0
8,أبي حفص عمر البالسي,أبي حفص عمر البالسي,99.99999999999997
9,عبد الله الحرستاني,عبد الله الحرستاني,99.99999999999999
10,ابن العلائي,ابن العلائي,100.00000000000003
11,ابن أبي المجد,ابن أبي المجد,99.99999999999999
15,أبي عمر,أبي عمر,100.00000000000003
0,أحمد بن محمد الحلبي,أحمد بن محمد الحلبي,99.99999999999997
1,ابن عبد الله,ابن عبد الله,99.99999999999999
0,شربش بن عبد الله بن على بن جسار بن عبد الله بن عمر بن مسعود العمري,شربش بن عبد الله بن على بن جسار بن عبد الله بن عمر بن مسعود العمري,99.99999999999997
1,ابن فهد,ابن فهد,100.00000000000003
0,إبراهيم بن الحسن بن إبراهيم بن عبد الكريم برهان الدين العرابي,إبراهيم بن الحسن بن إبراهيم بن عبد الكريم برهان الدين العرابي المقدسي الشافعي,94.11239481143201
6,العلاء بن العطار,العلاء بن العطار تلميذ النووي ,74.53559924999298
8,التقى القلقشندي,التقى القلقشندي,100.00000000000003
9,التاج الزيلعي,التاج الزيلعي,100.00000000000003
10,الصلاح بن المنجا الحنبلي,الصلاح بن المنجا الحنبلي,99.99999999999997
11,محيي الدين الرجبي,محيي الدين الرجبي,99.99999999999999
12,البرهان بن جماعة,البرهان بن جماعة,99.99999999999999
13,أبي الخير بن العلائي,أبي الخير بن العلائي,99.99999999999997
0,أحمد بن عبد الوهاب بن أحمد الشهاب بن التاج بن الشهاب الدمشقي بن الزهري,أحمد بن عبد الوهاب بن أحمد الشهاب بن التاج بن الشهاب الدمشقي بن الزهري,100.0
0,أحمد بن إبراهيم بن خليل بن محمد الحلبي الميقاتي,احمد بن ابراهيم بن خليل بن محمد الحلبي الميقاتي,78.26086956521738
1,ابن عزم,ابن عزم,100.00000000000003
0,خلف بن أبي بكر بن أحمد الزين النحريري,خلف بن ابي بكر بن احمد الزين النحريري المصري المالكي ,60.00991981489791
2,ابن الحاجب,ابن الحاجب,100.00000000000003
3,أبي مصعب فوت,أبي مصعب فوت,99.99999999999999
4,أبو الفتح بن صالح البخاري,أبو الفتح بن صالح,99.99999999999997
5,عبد الرحمن بن أحمد النفطي,عبد الرحمن بن أحمد النفطي,100.00000000000003
6,التقى بن فهد,التقى بن فهد,99.99999999999999
7,محمد بن عبد العزيز الكازروني,الشمس محمد بن عبد العزيز الكازروني,90.4534033733291
8,التقى الشمني,التقى الشمني,100.00000000000003
9,النجم بن فهد,النجم بن فهد,99.99999999999999
0,أحمد بن حسن بن إسماعيل بن يعقوب بن إسماعيل الشهاب العنتابي,احمد بن حسن بن اسماعيل بن يعقوب بن اسماعيل الشهاب العنتابي ثم القاهري الحنفي ,63.541070971918614
0,خليل التوريزي,خليل التوريزي الشجاري,77.45966692414834
1,حسن بن محب الدين الطرابلسي,البدر حسن بن محب الدين الطرابلسي,90.4534033733291
0,أحمد العقبى,أحمد العقبى,100.00000000000003
1,محمد بن يوسف,محمد بن يوسف,99.99999999999999
0,عبد الرحمن بن المحب محمد بن الشمس محمد بن على بن محمد بن عيسى ,عبد الرحمن بن المحب محمد بن الشمس محمد بن على بن محمد بن عيسى المصري القاهري الشافعي,95.27288741779101
1,ابن القطان,ابن القطان,100.00000000000003
0,إبراهيم بن العز محمد بن أحمد بن أبي الفضل محمد بن أحمد بن عبد العزيز الرضى,ابراهيم بن العز محمد بن احمد بن ابي الفضل محمد بن احمد بن عبد العزيز الرضي ابو حامد بن العز بن المحب الهاشمي النويري المالكي الشافعي,68.54690874163587
4,ابن صديق,ابن صديق,100.00000000000003
5,الزين المراغي,الزين المراغي,100.00000000000003
6,محمد بن محمد بن أحمد بن المحب المقدسي,الشمس محمد بن محمد بن احمد بن المحب المقدسي ,84.67803948114512
8,ابن الملقن,ابن الملقن,100.00000000000003
11,ابن الذهبي,ابن الذهبي,100.00000000000003
12,ابن العلائي,ابن العلائي,100.00000000000003
0,إبراهيم بن أحمد الجبرتي,إبراهيم بن أحمد الجبرتي,99.99999999999997
0,أحمد بن صبح,أحمد بن صبح,99.99999999999999
0,أحمد بن على بن أيوب الشهاب,احمد بن علي بن ايوب الشهاب المنوفي ,40.8248290463863
0,أحمد بن محمد بن عبد الحق بن أحمد بن محمد بن محمد السنباطي,احمد بن محمد بن عبد الحق بن احمد بن محمد بن محمد السنباطي ثم القاهري ,83.1162773771298
2,عبد الحق الآتي,الشرف عبد الحق ,67.08203932499369
0,خير بك الظاهري,خير بك الظاهري خشقدم,84.51542547285165
4,جانبك كوهيه,جانبك كوهيه,100.00000000000003
12,خير بك,خير بك,100.00000000000003
0,أحمد بن عبد الله بن محمد بن محمد بن محمد بن عبد القادر بن عبد الخالق بن خليل بن مقلد بن سالم بن جابر محيي الدين أبو اليسر بن التقى بن النور,احمد بن عبد الله بن محمد بن محمد بن محمد بن عبد القادر بن عبد الخالق بن خليل بن مقلد بن سالم بن جابر محيي الدين ابو اليسر بن التقي بن النور ابي البركات بن ابي المعالي بن الشرف بن العفيف الانصاري الدمشقي الشافعي ابن الصائع ,93.05118692554714
3,أحمد بن على الجزري,الشهاب  أحمد بن على الجزري,88.19171036881967
4,أبي عبد الله بن الخباز,أبي عبد الله بن الخباز,100.00000000000003
5,محمد بن عمر السلاوى,محمد بن عمر السلاوى,99.99999999999997
6,داود بن سليمان,داود بن سليمان,99.99999999999999
7,الشمس بن النقيب,الشمس بن النقيب,99.99999999999999
11,إبراهيم بن الشهاب محمود,الجمال ابراهيم بن الشهاب محمود ,62.99407883487119
12,ابن الوردي,ابن الوردي,100.00000000000003
13,أبي الفرج بن عبد الهادي,ابي الفرج بن عبد الهادي ,82.49579113843055
14,عبد الرحمن بن أحمد المرداوي,عبد الرحمن بن احمد المرداوي ,70.71067811865474
16,زينب ابنة الكمال,زينب ابنة الكمال,99.99999999999999
17,عبد القادر بن القرشية,عبد القادر بن القرشية,99.99999999999997
18,محمد بن أبي بكر بن خليل الاعزازي,محمد بن أبي بكر بن خليل الاعزازي,99.99999999999997
19,الصلاح بن أبي عمر,الصلاح بن أبي عمر,99.99999999999997
21,ابن سعد,ابن سعد,100.00000000000003
22,ابن الوردي,ابن الوردي,100.00000000000003
23,مجير الدين الذهبي,مجير الدين الذهبي,99.99999999999999
24,شعبان العسقلاني,شعبان العسقلاني,100.00000000000003
26,محمد الثالث,محمد الثالث,100.00000000000003
0,أحمد بن محمد بن محمد الأبدي,أحمد بن محمد بن محمد الأبدي,100.0
1,محمد بن عبد الرحمن بن على بن أحمد,محمد بن عبد الرحمن بن على بن أحمد,100.00000000000004
0,أحمد بن على بن محمد بن على بن الحسن بن حمزة بن محمد بن ناصر بن على بن الحسين بن إسماعيل بن الحسين بن أحمد بن إسماعيل بن محمد بن إسماعيل بن جعفر الصادق بن محمد الباقر بن على زين العابدين بن الحسين بن على بن أبي طالب,احمد بن علي بن محمد بن علي بن الحسن بن حمزة بن محمد بن ناصر بن علي بن الحسين بن اسماعيل بن الحسين بن احمد بن اسماعيل بن محمد بن اسماعيل بن جعفر الصادق بن محمد الباقر بن علي زين العابدين بن الحسين بن علي بن ابي طالب الشهاب ابو العباس بن ابي هاشم بن الحافظ الشمس ابي المحاسن الحسيني الدمشقي الشافعي ,82.5366563916586
2,حمزة الآتي,العز حمزة ,40.8248290463863
3,أبي هريره بن الذهبي,ابي هريرة بن الذهبي ,42.85714285714285
4,ابن صديق,ابن صديق ,100.00000000000003
7,أبي اليسر ابن الصائغ,ابي اليسر ابن الصائغ ,77.15167498104596
8,زينب ابنة,زينب ابنة محمد بن محمد بن عثمان السكري ,37.79644730092272
0,إبراهيم بن أحمد بن خلف النبي,إبراهيم بن أحمد بن خلف النبي القاهري المالكي,87.44746321952064
0,سودون بن عبد الرحمن الظاهري رقوق,سودون بن عبد الرحمن الظاهري رقوق,100.00000000000003
2,قايتباي المحمدي,قايتباي المحمدي,100.00000000000003
4,المظفر بن المؤيد,المظفر بن المؤيد,99.99999999999999
5,الأشرف برسباي,الأشرف برسباي,100.00000000000003
0,أحمد بن موسى بن أحمد بن على بن عجيل الشهاب,احمد بن موسى بن احمد بن علي بن عجيل الشهاب اليمني بن ابي بكر ابن الشيخ اسماعيل بن ابراهيم المشرع  ,61.3290505892921
4,إبراهيم بن محمد بن أحمد العجيل الصحيحين,إبراهيم بن محمد بن أحمد العجيل,99.99999999999997
5,سليمان العلويثم,النفيس  سليمان العلوي,44.721359549995796
6,إسماعيل بن أبي بكر بن الشيخ,اسماعيل بن ابي بكر بن الشيخ اسماعيل بن ابراهيم الجبرتي ,51.502620262460475
0,أحمد بن محمد بن سالم بن محمد بن قاسم,أحمد بن محمد بن سالم بن محمد بن قاسم,100.0
1,ابن عبد الرحمن بن محمد بن إسماعيل الإمام,إبراهيم ابن عبد الرحمن بن محمد بن إسماعيل الإمام,94.59053029269174
2,موسى بن بلال المقرى,إبراهيم ابن موسى بن بلال المقرى ,79.77240352174657
0,عبد العزيز بن دانيال بن عبد العزيز بن على بن عثمان الاصبهاني,عبد العزيز بن دانيال بن عبد العزيز بن على بن عثمان الاصبهاني المكي العجمي,95.65007145952778
0,الصلاح الطرابلسي,ام الصلاح الطرابلسي,77.45966692414834
0,داود بن على بهاء الدين الكردي,داود بن على بهاء الدين الكردي الشافعي ,91.98662110078001
1,الزين أبي حفص الباريني,الزين أبي حفص الباريني,99.99999999999997
2,ابن خطيب,ابن خطيب الناصرية ,77.45966692414834
0,ضياء بن محمد الحاري الحوراني,ضياء بن محمد الحاري الحوراني الشافعي ,90.4534033733291
1,خضر الكردي,خضر الكردي,100.00000000000003
0,خضر بن على بن أبي بكر بن على بن محمد بن أبي بكر بن عبد الله بن عمر ابن عبد الرحمن بن عبد الله أبو العباس الناشري,خضر بن على بن أبي بكر بن على بن محمد بن أبي بكر بن عبد الله بن عمر ابن عبد الرحمن بن عبد الله أبو العباس الناشري,99.99999999999997
1,موفق الدين,القاضي موفق الدين ,77.45966692414834
0,رضوان بن هلال الأندلسي,رضوان بن هلال الأندلسي,99.99999999999997
0,أحمد بن محمد بن أحمد بن محمد بن أحمد الشهاب العروفي,احمد بن محمد بن احمد بن محمد بن احمد الشهاب العروفي الدمشقي الصالحي الحنبلي العروفي,59.51493073409092
1,الجمال الباعوني,الجمال الباعوني,100.00000000000003
3,ابن قندس,التقي ابن قندس,77.45966692414834
4,عبد الرحمن بن خليل الحرستاني,عبد الرحمن بن خليل الحرستاني,100.00000000000003
0,عبد الرحيم بن محمود بن محمد بن عبد الرحيم بن عبد الوهاب بن أحمد بن عقيل الزين بن البهاء بن المحيوي أبي المعالي السلمي البعلي,عبد الرحيم بن محمود بن محمد بن عبد الرحيم بن عبد الوهاب بن أحمد بن عقيل الزين بن البهاء بن المحيوي أبي المعالي السلمي البعلي الشافعي,99.17011013305202
0,أمير حاج بن المجد عبد الرحمن بن الجيعان,اينة أمير حاج بن المجد عبد الرحمن بن الجيعان,94.59053029269174
0,أحمد بن لاجين الظاهر جقمق,أحمد بن لاجين الظاهر جقمق,100.00000000000003
0,إبراهيم بن ثابت,إبراهيم بن ثابت,99.99999999999999
1,ابن عزم,ابن عزم,100.00000000000003
0,أحمد بن سعد الهندي,احمد بن سعد الهندي المكي ,62.99407883487119
2,ابن فهد,ابن فهد,100.00000000000003
1,العز عبد السلام البغدادي,العز عبد السلام البغدادي,99.99999999999997
2,ابن البلقيني,ابن البلقيني,100.00000000000003
0,أحمد بن القاضي,أحمد بن القاضي موفق الدين على بن أبي بكر بن على بن محمد بن أبي بكر بن عبد الله الشهاب أبو الفضل الناشري اليماني,46.88072309384954
3,عبد المجيد الآتي,عبد المجيد,86.60254037844388
7,عبد الله بن محمد الناشري,عبد الله بن محمد الناشري,100.00000000000003
8,على بن أحمد الجلاد,على بن أحمد الجلاد,99.99999999999997
9,العفيف الناشري,العفيف الناشري,100.00000000000003
11,أحمد بن أبي بكر الرداد,الشهاب أحمد بن أبي بكر الرداد,90.4534033733291
0,خاطر بن على بن ربيعه بن وحشي بن خليفة بن عمرو السرميني ,خاطر بن على بن ربيعه بن وحشي بن خليفة بن عمرو السرميني الشافعي ,97.75252199076785
0,أحمد بن مسعود المدني,أحمد بن مسعود المدني الخرية,88.19171036881967
0,عبد الرزاق بن محمد بن يوسف الزين الخليلي ,عبد الرزاق بن محمد بن يوسف الزين الخليلي الشافعي ,94.59053029269174
1,ابن المصري,ابن المصري,100.00000000000003
3,ابن حسان,ابن حسان,100.00000000000003
0,أحمد بن محمد بن الهائم,أحمد بن محمد بن الهائم,100.0
0,أحمد بن محمد بن أبي بكر بن محمد القسطلاني,أحمد بن محمد بن أبي بكر بن محمد القسطلاني,100.0
1,أبو بكر بن عبد الملك بن محمد بن أحمد,أبو بكر بن عبد الملك بن محمد بن أحمد,100.0
0,عبد الرحمن بن عبد الله بن عبد الرحمن بن محمد بن محمد بن شرف الزين ابن اللؤلؤي,عبد الرحمن بن عبد الله بن عبد الرحمن بن محمد بن محمد بن شرف الزين ابن اللؤلؤي الدمشقي الشافعي,97.36795920896915
2,أبي بكر الآتيين,التقي أبي بكر,77.45966692414834
3,ابن قاضي عجلون,ابن قاضي عجلون,99.99999999999999
4,الزين خطاب,الزين خطاب,100.00000000000003
6,البدر بن قاضي شهبه,البدر بن قاضي شهبه,99.99999999999997
7,العلاء بن بردس,العلاء بن بردس,99.99999999999999
11,الزيني بن مزهر,الزيني بن مزهر,99.99999999999999
12,الولوي البلقيني,الولوي البلقيني,100.00000000000003
0,داود بن موسى,داود بن موسى ابن على الغماري المالكي,62.01736729460423
0,شاهين العلائي,شاهين العلائي قطلوبغا الكركي ,65.46536707079773
2,يوسف سبط,الجمال يوسف,57.73502691896258
4,الظاهر ططر,الظاهر ططر,100.00000000000003
7,الأشرف اينال,الأشرف اينال,100.00000000000003
8,الناصر فرج,الناصر فرج,100.00000000000003
0,سليمان بن أرخن بك بن محمد كرشجي بن عثمان,سليمان بن أرخن بك بن محمد كرشجي بن عثمان,99.99999999999997
1,مراد بك,مراد بك,100.00000000000003
3,الأشرف برسباي,الأشرف برسباي,100.00000000000003
9,خوند شاه زاده,خوند شاه زاده,99.99999999999999
0,إسماعيل بن العجمي,إسماعيل بن العجمي,99.99999999999999
0,حسن بن محمد بن أحمد بن على بن محمد بن محمد بن على بن أحمد ابن البدر,حسن بن محمد بن احمد بن علي بن محمد بن محمد بن علي بن احمد ابن البدر ابن شيخنا ابن حجر ,75.97751336605076
0,أحمد بن سفري,احمد بن سفري الامام شهاب الدين ,40.45199174779452
2,برهان الدين,برهان الدين,100.00000000000003
3,يحيى بن فهد,يحيى بن فهد,99.99999999999999
0,صالح بن الجمال أبي النجا,صالح بن الجمال أبي النجا محمد بن البهاء أبي البقاء محمد بن أحمد علم الدين المكي الحنفي ,59.6284793999944
3,أبي القسم,أبي القسم محمد الآتي ,65.46536707079773
5,ابن الضيا,ابن الضيا,100.00000000000003
6,البرهان الكركي,البرهان الكركي,100.00000000000003
0,أرغون شاه السيفي,أرغون شاه السيفي,99.99999999999999
0,إبراهيم بن أبي بكر بن إبراهيم بن محمد بن إسماعيل بن محمد بن حسن صارم الدين العامري,إبراهيم بن أبي بكر بن إبراهيم بن محمد بن إسماعيل بن محمد بن حسن صارم الدين العامري اليماني الحرضي,97.36795920896914
1,اليماني الحرضي  الآتي,اليماني الحرضي ,86.60254037844388
2,يحيى بن أبي بكر بن محمد العامري,شيخ يحيى بن أبي بكر بن محمد العامري,93.9336436627724
0,أحمد بن محمد بن يوسف بن محمد بن منصور بن موسى الشهاب الشويكي,احمد بن محمد بن يوسف بن محمد بن منصور بن موسى الشهاب الشويكي الاصل الخليلي الازرقي الشافعي ,89.32746021179418
3,ابن حجى,ابن حجى,100.00000000000003
4,ابن ناصر الدين,ابن ناصر الدين,99.99999999999999
0,إبراهيم بن محمد بن محمد بن محمد بن محمد بن محمد بن محمد بن محمد بن محمد برهان الدين أبو إسحاق بن العلم الزبيري النويري,ابراهيم بن محمد بن محمد بن محمد بن محمد بن محمد بن محمد بن محمد بن محمد برهان الدين ابو اسحاق بن العلم الزبيري النويري القاهري الشافعي,97.46485633185249
1,ابن ماجه,ابن ماجه,100.00000000000003
2,الجمال الحلاوى,الجمال الحلاوى,100.00000000000003
4,العلاء القلقشندي,العلاء القلقشندي الغطاس,77.45966692414834
5,الشرفي الأنصاري,الشرفي الأنصاري,100.00000000000003
6,علم الدين,القاضي  علم الدين,77.45966692414834
0,أحمد الشهاب المدني,أحمد الشهاب المدني النشار,84.51542547285165
0,أحمد بن على بن محمد الشهاب الغزي الحنفي,احمد بن علي بن محمد الشهاب الغزي الحنفي ,70.58823529411765
1,يحيى الواعظ,يحيى الواعظ,100.00000000000003
4,المحب بن حرباش,المحب بن حرباش,99.99999999999999
5,عبد الله الشامي,عبد الله الشامي,99.99999999999999
